City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Ayagoz,KZ,47.97,80.44,64.08,40,97,6.02,overcast clouds
84,Bambous Virieux,MU,-20.34,57.76,72.0,73,20,17.22,few clouds
85,Fairbanks,US,64.84,-147.72,57.99,93,75,3.36,broken clouds
86,Bredasdorp,ZA,-34.53,20.04,59.0,82,100,4.7,overcast clouds
87,Wewak,PG,-3.55,143.63,77.45,84,98,0.81,moderate rain
88,Elko,US,41.0,-115.5,82.0,18,1,2.15,haze
89,Puerto Escondido,MX,15.85,-97.07,82.4,65,90,6.93,overcast clouds
90,Jurado,CO,7.11,-77.76,80.11,83,81,6.44,light rain
91,Seoul,KR,37.57,126.98,75.2,83,90,0.38,overcast clouds
92,Tilichiki,RU,60.47,166.1,43.27,89,95,7.14,overcast clouds
93,Gazli,UZ,40.13,63.45,88.92,12,72,14.79,broken clouds
94,Carauari,BR,-4.88,-66.9,96.46,29,3,1.23,clear sky
95,Arlit,NE,18.74,7.39,96.53,29,79,10.96,light rain
96,Jashpurnagar,IN,22.9,84.15,73.87,84,100,2.82,overcast clouds
97,Sukhovolya,UA,49.82,23.84,64.4,93,75,4.47,broken clouds
98,Port Alfred,ZA,-33.59,26.89,58.82,81,1,8.63,clear sky
99,Forrest City,US,35.01,-90.79,87.8,45,1,3.36,clear sky
100,Faanui,PF,-16.48,-151.75,76.46,78,6,19.75,clear sky
101,San Patricio,MX,19.22,-104.7,86.0,74,75,6.93,broken clouds
102,Port Antonio,JM,18.18,-76.46,91.0,74,75,6.93,broken clouds
103,Arraial Do Cabo,BR,-22.97,-42.03,73.4,64,75,4.7,broken clouds
104,Saint-Philippe,RE,-21.36,55.77,68.0,72,24,4.7,few clouds
105,Bubaque,GW,11.28,-15.83,80.22,81,100,12.01,overcast clouds
106,Montrose,US,38.42,-108.27,84.0,26,94,3.0,overcast clouds
107,Fortuna,US,40.6,-124.16,60.01,93,90,6.93,overcast clouds
108,Rio Cuarto,AR,-33.13,-64.35,69.8,11,0,35.57,dust
109,Aykhal,RU,66.0,111.5,48.2,66,0,6.71,clear sky
110,Kisangani,CD,0.52,25.2,70.92,92,81,2.19,broken clouds
111,Longyan,CN,25.11,117.02,74.57,85,22,1.97,light rain
112,Tahlequah,US,35.92,-94.97,88.0,52,1,5.55,clear sky
113,Quesnel,CA,53.0,-122.5,51.8,81,1,2.24,clear sky
114,Karratha,AU,-20.74,116.85,73.51,48,12,7.11,few clouds
115,Ketchikan,US,55.34,-131.65,57.2,100,90,9.17,moderate rain
116,Maneadero,MX,31.72,-116.57,79.0,82,6,4.0,clear sky
117,Port Blair,IN,11.67,92.75,81.61,81,99,8.63,overcast clouds
118,Bandarbeyla,SO,9.49,50.81,77.05,76,78,32.5,broken clouds
119,San Quintin,MX,30.48,-115.95,78.62,62,0,7.87,clear sky
120,Clyde River,CA,70.47,-68.59,42.76,89,100,8.12,overcast clouds
121,Faya,SA,18.39,42.45,73.4,88,84,6.93,broken clouds
122,Timra,SE,62.49,17.33,64.99,59,67,3.36,light rain
123,Wetaskiwin,CA,52.97,-113.37,62.6,45,20,2.24,few clouds
124,Srednekolymsk,RU,67.45,153.68,34.36,89,98,7.52,overcast clouds
125,Ahipara,NZ,-35.17,173.17,55.09,79,51,18.95,light rain
126,Alnavar,IN,15.43,74.73,71.6,94,75,4.7,broken clouds
127,Geraldton,AU,-28.77,114.6,50.0,87,75,6.2,broken clouds
128,Cidreira,BR,-30.18,-50.21,62.1,69,0,15.43,clear sky
129,Meulaboh,ID,4.14,96.13,77.7,82,92,2.75,overcast clouds
130,Alofi,NU,-19.06,-169.92,73.4,88,77,8.05,broken clouds
131,Parainen,FI,60.31,22.3,66.2,68,20,12.75,few clouds
132,Taseyevo,RU,57.22,94.9,53.64,80,64,3.04,broken clouds
133,Barcelos,PT,41.54,-8.62,81.0,68,14,10.29,few clouds
134,Sao Filipe,CV,14.9,-24.5,79.9,77,97,6.17,overcast clouds
135,Mar Del Plata,AR,-38.0,-57.56,66.2,39,0,14.99,clear sky
136,Mastic Beach,US,40.77,-72.85,82.99,65,1,10.29,clear sky
137,Hilo,US,19.73,-155.09,78.8,74,75,3.36,broken clouds
138,Vila Franca Do Campo,PT,37.72,-25.43,77.0,78,20,12.75,few clouds
139,Klaksvik,FO,62.23,-6.59,48.2,76,81,13.87,broken clouds
140,Parrita,CR,9.52,-84.32,75.99,78,40,8.05,scattered clouds
141,East London,ZA,-33.02,27.91,63.68,71,32,5.48,scattered clouds
142,Nouadhibou,MR,20.93,-17.03,80.6,65,3,19.46,clear sky
143,Galle,LK,6.04,80.22,80.2,84,27,5.1,scattered clouds
144,Chicama,PE,-7.84,-79.15,74.84,46,32,10.69,scattered clouds
145,Chokurdakh,RU,70.63,147.92,32.47,96,96,9.06,overcast clouds
146,Pinega,RU,64.7,43.39,58.66,92,100,9.55,overcast clouds
147,Taltal,CL,-25.4,-70.48,58.15,62,19,4.03,few clouds
148,Olafsvik,IS,64.89,-23.71,52.3,65,28,7.38,scattered clouds
149,Mokhsogollokh,RU,61.47,128.92,42.69,72,84,3.71,broken clouds
150,Qaqortoq,GL,60.72,-46.03,55.4,62,0,9.17,clear sky
151,Tommot,RU,58.96,126.29,40.46,74,0,1.16,clear sky
152,Constitucion,CL,-35.33,-72.42,54.05,71,100,20.83,overcast clouds
153,Cayenne,GF,4.93,-52.33,75.2,88,4,11.39,clear sky
154,Lorengau,PG,-2.02,147.27,76.86,87,100,6.62,moderate rain
155,Onguday,RU,50.75,86.15,49.06,71,78,1.54,broken clouds
156,Tahoua,NE,14.89,5.27,89.55,46,99,7.65,overcast clouds
157,Carnarvon,AU,-24.87,113.63,64.4,88,54,17.22,broken clouds
158,Provideniya,RU,64.38,-173.3,49.86,91,98,5.01,light rain
159,Boende,CD,-0.22,20.87,70.47,96,100,1.45,overcast clouds
160,Tasiilaq,GL,65.61,-37.64,48.2,76,0,10.29,clear sky
161,Conde,BR,-7.26,-34.91,82.4,61,20,17.22,few clouds
162,Huarmey,PE,-10.07,-78.15,67.53,62,37,8.68,scattered clouds
163,Abong Mbang,CM,3.98,13.18,69.46,96,100,3.51,moderate rain
164,Nemuro,JP,43.32,145.57,62.58,98,40,3.0,scattered clouds
165,Fryanovo,RU,56.13,38.45,68.0,52,100,6.71,overcast clouds
166,Chizhou,CN,30.66,117.48,79.83,81,0,2.39,clear sky
167,Togur,RU,58.36,82.83,51.87,95,71,3.2,broken clouds
168,Pisco,PE,-13.7,-76.22,64.4,72,90,9.17,overcast clouds
169,North Bend,US,43.41,-124.22,71.01,87,20,10.47,few clouds
170,Honiara,SB,-9.43,159.95,73.4,100,90,3.36,light rain
171,Ust-Tsilma,RU,65.44,52.15,57.6,85,12,5.23,few clouds
172,Narsaq,GL,60.92,-46.05,55.4,62,0,9.17,clear sky
173,Zhangye,CN,38.93,100.45,70.61,36,6,5.68,clear sky
174,San Cristobal,VE,7.77,-72.22,84.2,62,40,3.36,scattered clouds
175,Hofn,IS,64.25,-15.21,57.2,67,75,5.82,broken clouds
176,Mount Gambier,AU,-37.83,140.77,39.2,93,90,8.05,overcast clouds
177,Nioro,GM,13.35,-15.75,76.17,85,100,4.38,overcast clouds
178,Zamora,EC,-4.07,-78.96,84.2,35,40,14.99,scattered clouds
179,Ribeira Grande,PT,38.52,-28.7,75.2,88,75,6.93,broken clouds
180,Westport,US,41.14,-73.36,84.99,69,1,6.93,clear sky
181,Lebu,CL,-37.62,-73.65,50.76,91,100,20.85,light rain
182,La Ronge,CA,55.1,-105.28,64.4,59,75,21.92,broken clouds
183,Beloha,MG,-25.17,45.05,67.32,82,1,6.87,clear sky
184,Rypefjord,NO,70.63,23.67,51.8,100,75,24.16,broken clouds
185,Los Llanos De Aridane,ES,28.66,-17.92,80.01,73,20,17.22,few clouds
186,Vanimo,PG,-2.67,141.3,77.52,81,96,4.21,moderate rain
187,Port Keats,AU,-14.25,129.55,68.32,74,0,5.32,clear sky
188,Jacksonville,US,30.33,-81.66,91.0,88,75,11.41,moderate rain
189,Rudbar,AF,30.15,62.6,94.84,27,0,14.2,clear sky
190,Stribro,CZ,49.75,13.0,70.0,56,17,5.82,few clouds
191,Half Moon Bay,US,37.46,-122.43,75.0,68,75,9.17,haze
192,Chuy,UY,-33.7,-53.46,62.58,58,0,10.47,clear sky
193,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,94.06,37,0,2.51,clear sky
194,Old Town,US,44.93,-68.65,81.0,47,75,6.93,broken clouds
195,Olinda,BR,-8.01,-34.86,80.6,65,40,11.41,scattered clouds
196,Bengkulu,ID,-3.8,102.27,76.53,88,96,4.74,overcast clouds
197,Okhotsk,RU,59.38,143.3,44.31,71,16,1.77,few clouds
198,Te Anau,NZ,-45.42,167.72,39.18,89,94,0.47,overcast clouds
199,Sola,VU,-13.88,167.55,80.44,85,95,13.22,overcast clouds
200,Saint-Pierre,RE,-21.34,55.48,68.0,72,0,4.7,clear sky
201,Kodinsk,RU,58.69,99.18,54.12,89,100,1.1,overcast clouds
202,Chute-Aux-Outardes,CA,49.12,-68.4,62.6,72,75,6.93,broken clouds
203,Verkhnevilyuysk,RU,63.45,120.32,39.09,81,0,2.24,clear sky
204,Cherskiy,RU,68.75,161.3,38.25,94,100,13.53,overcast clouds
205,Zhuhai,CN,22.28,113.57,86.0,83,20,5.82,few clouds
206,Quelimane,MZ,-17.88,36.89,71.6,73,47,2.51,scattered clouds
207,Fukue,JP,32.69,128.84,81.93,70,0,2.42,clear sky
208,Lavrentiya,RU,65.58,-171.0,46.92,94,97,5.39,overcast clouds
209,Sept-Iles,CA,50.2,-66.38,62.6,55,75,8.05,broken clouds
210,Hatillo,PR,18.49,-66.83,90.0,69,94,3.0,light rain
211,Yerbogachen,RU,61.28,108.01,47.7,61,44,6.76,scattered clouds
212,Kokoda,PG,-8.88,147.74,70.59,66,100,2.89,overcast clouds
213,Domokos,GR,39.13,22.3,82.99,54,0,5.82,clear sky
